number,value,state,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq
11,0.9112633122091535,PRUNED,0 days 00:00:01.236897,0.8558287498365654,0.019283335565628147,-1,48,1500,126,2.7575700595780326,5.2062711407694815e-05,0.6810736541687963,3
12,0.9152575648643927,PRUNED,0 days 00:00:01.222119,0.9980082658737178,0.0386050751573382,9,9,1300,127,6.976075505324498,0.008865465164105284,0.5167929424672361,5
13,0.92031525412966,COMPLETE,0 days 00:00:01.669828,0.651723150444279,0.009106595150548904,4,61,1300,83,0.14634014424915706,0.0008263183936469036,0.6831816142635185,4
14,0.9200312654679684,COMPLETE,0 days 00:00:03.448081,0.8289013643072972,0.08894139316761002,0,39,1500,159,2.3906863548779133e-06,6.921146598633852e-06,0.9930441179102896,2
15,0.9152344642763017,COMPLETE,0 days 00:00:01.447733,0.6148692788138606,0.023384090511638488,2,77,1200,83,0.0789890736326765,0.0015579107174789589,0.6700750482407987,4
16,0.9153108804614861,COMPLETE,0 days 00:00:01.938633,0.682011957306668,0.007184866818696223,5,96,900,164,8.127741415266839e-07,1.324292732683279,0.7983436854453236,2
17,0.9288485591173559,COMPLETE,0 days 00:00:01.700747,0.5852306392660565,0.08037581529719123,12,41,1300,245,0.23378225464218721,4.015171619944095e-06,0.7237949308068958,3
18,0.9303356957472206,COMPLETE,0 days 00:00:01.774147,0.5927323942612678,0.07273542083211516,12,66,1100,253,6.842210616010691e-05,3.0170346373536323e-06,0.7275024773533265,2
19,0.9195477547504707,PRUNED,0 days 00:00:01.086146,0.5058104808137766,0.11832684030391026,12,43,1100,255,0.000104133116311454,9.493389007069122e-07,0.7287463395440605,3
20,0.9240755138094667,COMPLETE,0 days 00:00:01.403903,0.5687015336457728,0.07596841255073049,8,86,700,225,0.015863837791301048,1.2294978361510114e-06,0.6014458576125155,2
21,0.9133175212981363,PRUNED,0 days 00:00:01.352583,0.6044751832768311,0.07349451711517622,10,65,1300,239,1.5165011006473718e-07,1.698422055908358e-05,0.8106452018417596,0
22,0.9187542459020532,PRUNED,0 days 00:00:02.165098,0.5862418027126791,0.10921601698966209,12,53,1100,191,6.189017570634356e-06,1.2729950705005781e-05,0.7105579203642309,2
23,0.9152544822766483,PRUNED,0 days 00:00:01.030393,0.6926754909250746,0.001182394436201363,10,69,1400,231,4.5018671179509596e-05,3.251097990820637e-07,0.7720265551600473,3
24,0.929080099082837,COMPLETE,0 days 00:00:02.137376,0.5028688082197355,0.03885427107549566,11,55,1100,171,1.5814444231243417e-07,2.4660216671113837e-06,0.6274045181227674,1
25,0.9189666746990555,PRUNED,0 days 00:00:01.219384,0.5001647269806576,0.03562142923903715,11,54,900,164,2.936330253573791e-07,2.281828069958351e-08,0.6228546197004985,2
26,0.9211676932151636,COMPLETE,0 days 00:00:01.806622,0.5349344391689582,0.015007817355839944,9,42,1100,204,0.00032535812734954295,1.5794918977698143e-06,0.5338509616649421,1
27,0.9258042006020919,PRUNED,0 days 00:00:01.754294,0.638909975451201,0.18744029461615483,12,87,1200,184,0.36186460501662293,3.101719823579018e-05,0.6387337087410515,3
28,0.929152675525565,COMPLETE,0 days 00:00:01.921188,0.5639849546810195,0.046334435301077406,9,55,800,144,0.02319455412031692,1.1731862526633286e-07,0.7113779862763034,2
29,0.9252614767149533,COMPLETE,0 days 00:00:01.703067,0.552911506751441,0.05075104527260133,7,57,700,111,0.011829559731460134,1.6350139435978244e-07,0.5445905572735779,1
30,0.9266391347509876,COMPLETE,0 days 00:00:02.072206,0.517472708137459,0.02978879705601481,9,69,500,50,0.0017371711095806612,1.6376483689632152e-08,0.5625144249314489,2
31,0.9136063402590584,PRUNED,0 days 00:00:01.398051,0.5699028889126105,0.1303609947499719,11,48,800,146,0.007627367204178662,2.6405075372839344e-06,0.7141106743071743,2
32,0.9259188692290157,COMPLETE,0 days 00:00:01.615546,0.6242474395002977,0.08584048922546755,10,21,500,181,0.054490167841824914,7.335471804985633e-08,0.6313718679348586,1
33,0.9332857661510084,COMPLETE,0 days 00:00:02.008295,0.586359315970896,0.05014847828283201,12,48,1000,218,0.4491222367310692,4.5296668569010946e-07,0.7025316324220753,3
34,0.9277695340597395,COMPLETE,0 days 00:00:01.616456,0.6714331685961503,0.045057217347694536,8,48,1000,217,0.7738080466262811,1.0879854608655913e-08,0.5773358118530281,1
35,0.9250886019977678,COMPLETE,0 days 00:00:02.154891,0.5515191061182863,0.020204154240610592,11,56,800,141,0.00021902652873106982,4.5543680756214275e-07,0.7005549790532444,2
36,0.9277715485610049,COMPLETE,0 days 00:00:01.545704,0.7191887996219075,0.14758064116429012,12,64,1000,206,0.03178423267475355,5.552921949040613e-08,0.7622878817288702,1
37,0.920443602136094,PRUNED,0 days 00:00:01.386813,0.5349055094938634,0.059269000421047095,10,77,900,175,0.0006559237648040889,4.1652518009693495e-07,0.6520631860801974,0
38,0.9296835504177725,COMPLETE,0 days 00:00:02.291718,0.5697462277269841,0.03357542655906171,11,35,1000,229,0.002613604523903741,0.00010973719280486689,0.6081331652942724,2
39,0.9243436145278978,COMPLETE,0 days 00:00:01.574637,0.6125892188076929,0.013523708415157619,7,24,800,228,0.003591025428835422,0.0003688483425405621,0.8583429290675344,3
40,0.9256995867836293,PRUNED,0 days 00:00:01.260439,0.7301877385905007,0.030075477218028567,9,34,600,61,0.004701719459620566,5.8850144394092664e-05,0.6050013286797374,2
41,0.909309485132606,PRUNED,0 days 00:00:01.448830,0.5668631220624002,0.036375338942712075,11,50,1000,220,2.334843577987299e-05,2.5536697139927547e-06,0.7431858559639364,2
42,0.9211528378910278,PRUNED,0 days 00:00:01.748650,0.5166563856539615,0.059552801731787196,11,37,1100,233,0.0007773147811014151,2.449052897351225e-07,0.6936059641791101,3
43,0.9284828186940857,COMPLETE,0 days 00:00:02.401778,0.5871879650379177,0.04861127323760387,12,27,900,153,0.0234371323743139,0.00011445441763011143,0.6519880245573607,1
44,0.9225028695625355,COMPLETE,0 days 00:00:03.013701,0.5321751030763348,0.025983730182720034,10,45,1000,254,0.8871585361700829,1.0204632463499452e-06,0.6202462917822144,0
45,0.9219088339668158,COMPLETE,0 days 00:00:03.555478,0.5580122544520346,0.0173661596567358,11,67,1200,111,7.443942142933427,4.074239829521924e-08,0.7805937003370051,2
46,0.9087305822612917,PRUNED,0 days 00:00:04.647016,0.6448635787585516,0.104361863010961,12,12,1100,212,7.280239519208916e-08,2.3544522445356823e-05,0.5807497702910516,3
47,0.9293893032047658,COMPLETE,0 days 00:00:04.741271,0.7972695849860929,0.009835467417579017,9,52,600,194,0.08369701760878659,0.0034788848740195393,0.6720591341966247,2
48,0.9077016015076868,PRUNED,0 days 00:00:01.942396,0.7861432181323432,0.009864293203887622,6,32,500,196,2.216461724462437,0.0044650205178957975,0.6743170034427378,4
49,0.9169544257809842,PRUNED,0 days 00:00:02.439592,0.9105460154288381,0.006005420720988396,8,73,600,239,0.11146962859802453,0.023418009422288447,0.7365397799608655,2
50,0.8903133427210893,PRUNED,0 days 00:00:02.229706,0.8120417635861826,0.00371315825901179,10,60,400,209,0.001676159165336432,0.6592165316742048,0.701884949852873,3
51,0.9182060575862407,PRUNED,0 days 00:00:01.660674,0.746821082618615,0.012086932904755302,9,52,1000,188,0.05819351028342986,0.09489391429696963,0.6601667641806459,2
